ident;type_client;tranche_age;statut_matrimonial;anciennete;tranche_epargne;profession;cumul_credit;salaire;credit_demande
I459;mauvais client;de 23 a 40 ans;divorce;anc. 1 an  ou moins;pas d'epargne;cadre;moins de 40  debits;475;390
I460;mauvais client;de 23 a 40 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;moins de 40  debits;270;435
I461;mauvais client;de 23 a 40 ans;marie;anc. 1 an  ou moins;pas d'epargne;employe;moins de 40  debits;350;385
I462;mauvais client;moins de 23 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;moins de 40  debits;250;450
I463;mauvais client;plus de 50 ans;veuf;anc. plus   12 ans;moins de 10KF epargn;cadre;de 40 a 100  debits;805;740
I464;mauvais client;de 23 a 40 ans;celibataire;anc. 1 an  ou moins;moins de 10KF epargn;employe;de 40 a 100  debits;330;370
I465;mauvais client;plus de 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;cadre;moins de 40  debits;765;360
I466;mauvais client;plus de 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;employe;moins de 40  debits;945;455
I467;mauvais client;plus de 50 ans;marie;anc. plus   12 ans;pas d'epargne;cadre;plus de 100  debits;830;645
I468;mauvais client;de 40 a 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;autre;moins de 40  debits;375;570
